Issue Type,Issue key,Issue id,title,Assignee,Reporter,Status,Resolution,Updated,top_component,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,Component/s,description
Bug,QPID-7788,13073090,Linearstore doesnt move to EFP latest journal files when deleting a durable queue,pmoravec,pmoravec,Resolved,Fixed,2017-05-18 11:27,C++,C++ Broker,,,,,,,"When deleting an empty durable queue, the last empty page that it held is not moved to EFP but dropped.

Even more, when deleting a non-empty durable queue where the queue content spans more than the last file, no such `jrnl` file is returned to EFP.

That makes `/var/lib/qpidd/.qpidd/qls/p001/efp/2048k/in_use` (or similar directory depending to configuration) growing over time."
Bug,QPID-7786,13073068,qpidd segfaults during startup when SSL certificate cant be read,pmoravec,pmoravec,Resolved,Fixed,2017-05-18 10:19,C++,C++ Broker,,,,,,,"When qpidd can't read NSS password file, or when SSL certificate name is not found / readable in the NSS database, qpidd segfaults at startup with backtrace:

{code}
(gdb) bt
#0  0x00007f3010a4f704 in qpid::sys::SocketAddress::nextAddress (this=this@entry=0x7ffe36dc0570) at /usr/src/debug/qpid-cpp-0.34/src/qpid/sys/posix/SocketAddress.cpp:321
#1  0x00007f301113ec17 in qpid::sys::SocketAcceptor::listen (this=this@entry=0x29bf500, interfaces=..., port=port@entry=5671, backlog=backlog@entry=10, factory=...)
    at /usr/src/debug/qpid-cpp-0.34/src/qpid/sys/SocketTransport.cpp:150
#2  0x00007f3010fdfdbb in qpid::sys::SslPlugin::initialize (this=0x7f3011407180 <qpid::sys::sslPlugin>, target=...) at /usr/src/debug/qpid-cpp-0.34/src/qpid/sys/SslPlugin.cpp:126
#3  0x00007f3010a876af in operator() (a1=..., p=<optimized out>, this=<synthetic pointer>) at /usr/include/boost/bind/mem_fn_template.hpp:165
#4  operator()<boost::_mfi::mf1<void, qpid::Plugin, qpid::Plugin::Target&>, boost::_bi::list1<qpid::Plugin* const&> > (a=<synthetic pointer>, f=<synthetic pointer>, 
    this=<synthetic pointer>) at /usr/include/boost/bind/bind.hpp:313
#5  operator()<qpid::Plugin*> (a1=@0x2488ce0: 0x7f3011407180 <qpid::sys::sslPlugin>, this=<synthetic pointer>) at /usr/include/boost/bind/bind_template.hpp:47
#6  for_each<__gnu_cxx::__normal_iterator<qpid::Plugin* const*, std::vector<qpid::Plugin*> >, boost::_bi::bind_t<void, boost::_mfi::mf1<void, qpid::Plugin, qpid::Plugin::Target&>, boost::_bi::list2<boost::arg<1>, boost::reference_wrapper<qpid::Plugin::Target> > > > (__f=..., __last=..., __first=<qpid::sys::sslPlugin>) at /usr/include/c++/4.8.2/bits/stl_algo.h:4417
#7  qpid::(anonymous namespace)::each_plugin<boost::_bi::bind_t<void, boost::_mfi::mf1<void, qpid::Plugin, qpid::Plugin::Target&>, boost::_bi::list2<boost::arg<1>, boost::reference_wrapper<qpid::Plugin::Target> > > > (f=...) at /usr/src/debug/qpid-cpp-0.34/src/qpid/Plugin.cpp:73
#8  0x00007f3010a877a2 in qpid::Plugin::initializeAll (t=...) at /usr/src/debug/qpid-cpp-0.34/src/qpid/Plugin.cpp:91
#9  0x00007f3010ffc99a in qpid::broker::Broker::Broker (this=0x249bae0, conf=...) at /usr/src/debug/qpid-cpp-0.34/src/qpid/broker/Broker.cpp:376
#10 0x0000000000405c82 in qpid::broker::QpiddBroker::execute (this=this@entry=0x7ffe36dc284e, options=0x24909a0) at /usr/src/debug/qpid-cpp-0.34/src/posix/QpiddBroker.cpp:229
#11 0x0000000000409d04 in qpid::broker::run_broker (argc=3, argv=0x7ffe36dc2be8, hidden=<optimized out>) at /usr/src/debug/qpid-cpp-0.34/src/qpidd.cpp:108
#12 0x00007f300fb0db35 in __libc_start_main (main=0x404ce0 <main(int, char**)>, argc=3, ubp_av=0x7ffe36dc2be8, init=<optimized out>, fini=<optimized out>, rtld_fini=<optimized out>, 
    stack_end=0x7ffe36dc2bd8) at ../csu/libc-start.c:274
#13 0x0000000000404f51 in _start ()
(gdb) list
316	        (void) getAddrInfo(*this);
317	    }
318	}
319	
320	bool SocketAddress::nextAddress() const {
321	    bool r = currentAddrInfo->ai_next != 0;
322	    if (r)
323	        currentAddrInfo = currentAddrInfo->ai_next;
324	    return r;
325	}
(gdb) p currentAddrInfo
$2 = (addrinfo *) 0x0
(gdb) 
{code}

It is OK if the broker won't start, but it should not segfault."
Bug,QPID-6822,12909639,"Failure on: qpid-config add queue --durable ""queue-id""",kpvdr,peterlacko,Closed,Fixed,2017-03-20 17:32,C++,C++ Broker,,,,,,,"Attempt to create durable queue fails with:
{noformat}
$ qpid-config add queue --durable ""queue""
Failed: Exception: Exception from Agent: {u'error_code': 7, u'error_text': 
'Queue queue: create() failed: jexception 0x010c 
EmptyFilePool::createSymLink() threw JERR__SYMLINK: Symbolic link 
operation failed (file=/var/lib/qpidd/.qpidd/qls/p001/efp/2048k/in_use
/85570c5b-b2ca-4883-bf86-8df746ac6ee4.jrnl symlink=/var/lib/qpidd/.qpidd
/qls/jrnl2/queue/85570c5b-b2ca-4883-bf86-8df746ac6ee4.jrnl errno=13 
(Permission denied)) (/builddir/build/BUILD/qpid-cpp-0.34/src/qpid/linearstore
/MessageStoreImpl.cpp:425)'}
{noformat}
Queue is created succesfully without {{--durable}} parameter.
Problem occures after doing {{yum update}}. All qpid packages versions listed below, before and after performing update:
{noformat}
$ diff qpid-before-update.txt qpid-after-update.txt
1,10c1,10
< python-gofer-qpid.noarch   2.6.6-1.git.48.3141846.el7
< python-qpid.x86_64         0.32-3.el7          @epel
< python-qpid-common.x86_64  0.32-3.el7          @epel
< python-qpid-qmf.x86_64     0.28-29.el7         @epel
< qpid-cpp-client.x86_64     0.32-3.el7          @epel
< qpid-cpp-server.x86_64     0.32-3.el7          @epel
< qpid-cpp-server-store.x86_64
< qpid-proton-c.x86_64       0.9-3.el7           @epel
< qpid-qmf.x86_64            0.28-29.el7         @epel
< qpid-tools.x86_64          0.32-3.el7          @epel
---
> python-gofer-qpid.noarch   2.6.6-2.el7         @pulp-2.7-beta
> python-qpid.noarch         0.32-9.el7          @epel
> python-qpid-common.noarch  0.32-9.el7          @epel
> python-qpid-qmf.x86_64     0.32-1.el7          @epel
> qpid-cpp-client.x86_64     0.34-4.el7          @epel
> qpid-cpp-server.x86_64     0.34-4.el7          @epel
> qpid-cpp-server-linearstore.x86_64
> qpid-proton-c.x86_64       0.10-2.el7          @epel
> qpid-qmf.x86_64            0.32-1.el7          @epel
> qpid-tools.noarch          0.32-9.el7          @epel
{noformat}
"
Bug,QPID-3187,12503313,No exception handling for many timer tasks in broker,gsim,gsim,Closed,Fixed,2017-03-14 20:08,C++,C++ Broker,,,,,,,"The assumption in Timer appears to be that no thread will ever throw from TimerTask::fire(). In practice however few of the implementations of that method in the broker take any measures to ensure that is the case. If code called on a timer thread throws there is therefore the risk of the broker terminating (I have observed such a case for example on the management periodic processing).

It would probably be advisable to add some generic protection for this."
Bug,QPID-2102,12435628,Exceeding reject queue policy under a transaction causes broker crash ,,gsim,Closed,Fixed,2017-03-14 20:08,C++,C++ Broker,,,,,,,"To reproduce:

Start a broker.
Use qpid-tool to create a queue with a reject policy and a count limit of 5.
Enqueue 10 records under a single transaction to that queue.
Prepare and commit the transaction.
Broker crashes.
"
Bug,QPID-3363,12514432,broker allows unbind on default exchange,gsim,gsim,Closed,Fixed,2017-03-14 20:07,C++,C++ Broker,,,,,,,"Rule 'default-access' states ""The default exchange MUST NOT be accessible to the client except by specifying an empty exchange name in a content publish command (such as message.transfer). That is, the server must not let clients explicitly bind, unbind, delete, or make any other reference to this exchange."" 


However qpid-config unbind """" my-queue my-queue will delete the binding preventing the queue from being directly accessed."
Bug,QPID-3298,12509700,bindings with x-match:all on headers exchange do not work correctly with dynamic federation,gsim,gsim,Closed,Fixed,2017-03-14 20:07,C++,C++ Broker,,,,,,,"I believe the issue is that the arguments used in the binding include the extra control arguments for fed.origin etc and as these are not specified in the messages, they do not match the binding.

Using x-match:any works as expected."
Bug,QPID-3208,12504387,Exchanges make best effort to route messages if there is an error.,aconway,aconway,Closed,Fixed,2017-03-14 20:07,C++,C++ Broker,,,,,,,"If multiple queues are bound to the same routing key,
then a failure to deliver to one of the queues (e.g. policy limit
error) could prevent delivery on some of the other queues.

The exchange should deliver to every queue that did not
have an error before raising an error.

"
Bug,QPID-3201,12504061,NullMessageStore not safe for concurrent DTX operations,gsim,gsim,Closed,Fixed,2017-03-14 20:07,C++,C++ Broker,,,,,,,...as the 'prepared' set is not protected from concurrent access by any locking. E.g. running qpid-txtest with --dtx true and several queues in a stress test against a broker with no store plugin will crash the broker.
Bug,QPID-1370,12406651,LVQ pointer containment / incomplete browse,,cctrieloff,Closed,Fixed,2017-03-14 20:02,C++,C++ Broker,,,,,,,"
It is not clear the way I reference the deque will be safe if stl updates. This jira is to make lvq insensitive to stl changes + update browse behavior."
Bug,QPID-5305,12677901,Valgrind reports uninitialised values sent to system call in legacystore,astitcher,astitcher,Closed,Fixed,2017-03-14 19:35,C++,C++ Broker,,,,,,,"Running the legacystore tests under valgrind highlight that it doesn't initialise all the values it sends to disk.

Even if these bytes are actually never used when the store is read, having this behaviour makes it hard to use valgrind to check that the store doesn't have other problems.

There is a compile time option to enable initialising of the full written buffer, I think it is wise to enable this option always, so that testing using valgrind is productive."
Bug,QPID-6924,12917381,Qpidd fails to compile against trunk 0.12-SNAPSHOT proton-c,astitcher,astitcher,Closed,Fixed,2017-03-14 19:32,C++,C++ Broker,,,,,,,"Compile failure:
{noformat}
/foo/qpid/qpid/cpp/src/qpid/broker/amqp/DataReader.cpp: In member function 'void qpid::broker::amqp::DataReader::readOne(pn_data_t*)':
/foo/qpid/qpid/cpp/src/qpid/broker/amqp/DataReader.cpp:76:12: error: enumeration value 'PN_INVALID' not handled in switch [-Werror=switch]
     switch (pn_data_type(data)) {
            ^
cc1plus: all warnings being treated as errors
make[2]: *** [src/CMakeFiles/amqp.dir/qpid/broker/amqp/DataReader.cpp.o] Error 1
{noformat}"
Bug,QPID-7494,13017863,Invocation of check_dependencies.py fails on CMake 2.8.11,jross,jross,Resolved,Fixed,2016-11-04 0:07,C++,C++ Broker,C++ Client,,,,,,"This annoying issue is discussed here: https://public.kitware.com/Bug/view.php?id=13887 .

It's a bug introduced in cmake 2.8.10 and resolved in 2.8.12.  RHEL 7's cmake version is 2.8.11."
Bug,QPID-7250,12964391,Durable message that exceeds page queue size prevents broker restart,gsim,gsim,Closed,Fixed,2016-09-06 21:33,C++,C++ Broker,,,,,,,"If you have a durable paged queue and send a durable message that is too large to fit in a single page, the broker rejects it which is expected based on current implementation. However it does so only after having written the message to disk. On attempting to recover that message then can't be brought into memory and the broker fails to recover."
Bug,QPID-7127,12947013,[C++ broker] Setting large idle timeout cause confuses timers in the C++ broker,pmoravec,scholzj,Closed,Fixed,2016-09-06 21:33,C++,C++ Broker,,,,,,,"I run into following problem. When I try to connect with SwiftMQ AMQP client (http://www.swiftmq.com/) to the Qpid C++ broker and don't specify idle timeout, it will use in64_max. The Qpid broker seems to be fine with it and opens the connection:

ConnectionDispatcher, , visit, po=[POOpen, containerId=356a476d-4678-4cfa-9680-8bf648b808d2@schojak, maxFrameSize=2147483647, maxChannel=255, idleTimeout=9223372036854775807]
ConnectionDispatcher, , visit, po=[POConnectionFrameReceived, frame=[Open containerId=91655fa5-80d3-4cd1-9a72-51b82e36de00, maxFrameSize=4294967295, channelMax=255, idleTimeOut=2147483647, offeredCapabilities=[ANONYMOUS-RELAY], properties=[product=qpid-cpp, platform=Linux, host=6a2d20e32f38, version=0.35]], sassl=false]

However, the timers in the broker get crazy from it and start raising milions of errors like this:
2016-03-04 15:55:40 [System] error ConnectionTicker couldn't setup next timer firing: 33.8867ms[0ns]
2016-03-04 15:55:40 [System] error ConnectionTicker couldn't setup next timer firing: 33.8937ms[0ns]
2016-03-04 15:55:40 [System] error ConnectionTicker couldn't setup next timer firing: 33.9006ms[0ns]
2016-03-04 15:55:40 [System] error ConnectionTicker couldn't setup next timer firing: 33.9076ms[0ns]

This seems to go on until the client disconnects or until the disk goes full. IT also seems to cause some secondary problems (perfomance, the affected client cannot close producer etc.)

The int64 idle timeout seems to be bug in the SwiftMQ client. But Qpid should definitely handle this better:
- Not open the connection when the indle timeout is invalid
- Make sure that the timer errors don't appear

The problem seems to be present in both 0.34 as well as in trunk."
Bug,QPID-7357,12990459,c++ HA Backup crash during re-connect in failover,aconway,aconway,Closed,Fixed,2016-09-06 21:33,C++,C++ Broker,C++ Clustering,,,,,,"A backup creates an UpdateTracker to delete non-existent queues at the end of an update, in the UpdateTracker destructor. However if an update is interrupted, it can leave a partially-used UpdateTracker behind. When the next update starts this can incorrectly delete queues at a sensitive moment and cause a crash.

See also https://bugzilla.redhat.com/show_bug.cgi?id=1333767"
Bug,QPID-6639,12844695,"Incoming connection using ""cut-through"" ANONYMOUS SASL fails",gsim,tross,Closed,Fixed,2016-09-06 21:33,C++,C++ Broker,,,,,,,"When connecting an AMQP 1.0 connection to the broker using SASL ANONYMOUS, the following exchange occurs:
{noformat}
  Client            Broker
        init(SASL) ->
        sasl.init (ANON) ->
        init(AMQP) ->
        open ->
     <- init(SASL)
     <- sasl.mechanisms
     <- sasl.outcome(OK)
     socket closed by broker after timeout
{noformat}
It appears the the broker doesn't process the open frame."
Bug,QPID-7373,12994201,memory leak in broker with idle worker threads,cliffjansen,cliffjansen,Closed,Fixed,2016-09-06 21:33,C++,C++ Broker,,,,,,,"If a C++ broker is lightly loaded with many short lived connections such that at least one worker thread remains unwoken from the epoll_wait, its DeletionManager::ThreadStatus::handles grows without bound and the associated handles retain a shared_ptr ref and never go away.

To reproduce check RSS from ps (or malloc_stats) when running a simple program that creates a connection and nothing else:


hex5:  cat foo.cpp
{code}
#include <qpid/messaging/Connection.h>
#include <iostream>
using namespace qpid::messaging;
int main(int argc, char** argv) {
    std::string broker = argc > 1 ? argv[1] : ""127.0.0.1:5672"";
    Connection connection(broker);
    try {
        connection.open();
        connection.close();
        return 0;
    } catch(const std::exception& error) {
        std::cerr << error.what() << std::endl;
        connection.close();
        return 1;   
    }
}
{code}
hex5:  while true; do LD_LIBRARY_PATH=../rt/b/amqp/b/q35x/rt/lib64 ./foo ; done
"
Bug,QPID-6966,12924892,C++ broker and client to support TLS1.1 and TLS1.2 by default,pmoravec,pmoravec,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,C++ Client,,,,,,"Description of problem:
Currently, neither C++ client or broker allows TLS1.1 or TLS1.2 protocol versions. Please enable it, esp. since Java client 6.1 will disable TLS1.0 and use 1.1 and 1.2 only.


Version-Release number of selected component (if applicable):
qpid-cpp-server-0.34-5.el6.x86_64
qpid-cpp-client-0.34-5.el6.x86_64


How reproducible:
100%


Steps to Reproduce:
1. Start qpid broker with SSL configured
2. openssl s_client -tls1_1 -connect localhost:5671
3. openssl s_client -tls1_2 -connect localhost:5671


Actual results:
Both 2 and 3 fails with:

{noformat}
139817551390536:error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number:s3_pkt.c:337:
{noformat}


Expected results:
Both should return something like:

{noformat}
CONNECTED(00000003)
depth=0 CN = localhost
verify error:num=18:self signed certificate
verify return:1
depth=0 CN = localhost
verify return:1
140319888385864:error:14094412:SSL routines:SSL3_READ_BYTES:sslv3 alert bad certificate:s3_pkt.c:1256:SSL alert number 42
140319888385864:error:1409E0E5:SSL routines:SSL3_WRITE_BYTES:ssl handshake failure:s3_pkt.c:596:
---
Certificate chain
 0 s:/CN=localhost
   i:/CN=localhost
---
Server certificate
-----BEGIN CERTIFICATE-----
MIIBoDCCAQmgAwIBAgIFAKUDcMswDQYJKoZIhvcNAQEFBQAwFDESMBAGA1UEAxMJ
bG9jYWxob3N0MB4XDTE1MTIzMDExMDYwN1oXDTE2MDMzMDExMDYwN1owFDESMBAG
A1UEAxMJbG9jYWxob3N0MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCgCq6w
o6FW7gIpAQu8y74wuREH6aGo6hc6YVfATz503o7dxqmUUKs6+DkqbEiDu43r51QL
Sb7oduLMmrvC5TfhWEZGe3PYPOuCBbpqDxXs5kKlqSCuIbvDv1ua1WXdqb27/jGr
d6Lf+DsnU+GXrGwLY1W1zchagmFU1P2dLh8JhQIDAQABMA0GCSqGSIb3DQEBBQUA
A4GBACUauXrJB/P0za8mPj5As4uQ3kr7CHIAtFBEAd3MvVmf9RHniMU/resXeE1B
CBOZ4kXmTvVQ+/kDxYTXO/pLq0wh4HHuZC4LrmlIHG2WagEskVnYgqJiHUchKi+8
URu/CX4rW6/EdcAHhPsKX6nlHFFKYg5u9b9ZtQHYMrfryStZ
-----END CERTIFICATE-----
subject=/CN=localhost
issuer=/CN=localhost
---
Acceptable client certificate CA names
/CN=dummy
---
SSL handshake has read 565 bytes and written 202 bytes
---
New, TLSv1/SSLv3, Cipher is AES128-GCM-SHA256
Server public key is 1024 bit
Secure Renegotiation IS supported
Compression: NONE
Expansion: NONE
SSL-Session:
    Protocol  : TLSv1.2
    Cipher    : AES128-GCM-SHA256
    Session-ID: 7D6C1CB53B37700F2BF007D0D079AB72F26A9D289BCA8D98B5B3F1E283311991
    Session-ID-ctx: 
    Master-Key: 448215BEAADBFF90B82B421D182F8AD7174426D9292835775C405A7C3AEC2763E5F2A1127E5AE210ADC6B7335EE1F6FA
    Key-Arg   : None
    Krb5 Principal: None
    PSK identity: None
    PSK identity hint: None
    Start Time: 1451483784
    Timeout   : 7200 (sec)
    Verify return code: 18 (self signed certificate)
---
{noformat}

Additional info:"
Bug,QPID-7147,12950864,When compiling with C++11/14 bind() use gets found as std::bind(),astitcher,astitcher,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"This is a poor naming issue that wasn't a problem before.

In qpid/messaging/amqp/AddressHelper.cpp there are a number of anonymous functions called bind() which take std::string as one of their argument types. Additionally the include chain indirectly includes <functional>.

Because of C\+\+ argument dependent lookup the compiler is finding/using std::bind in preference to the locally declared bind. This is only an issue when compiling with C\+\+11/14 because std::bind did not exist before.

This issue might have gone undetected except that the compiler noted that one of the overloads of the local bind() was unused.

A most pernicious problem and hard to detect."
Bug,QPID-7393,12996942,Unavailable buffers in Windows SSL,cliffjansen,cliffjansen,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,C++ Client,,,,,,"From the user list (acartcat Cartwright_Andrew@cat.com):

> I get the following error in the broker, looks like the same error as
> QPID-5033.
[...]
> 2016-05-26 05:22:23 [System] error No IO buffers available: getQueuedBuffer
> with empty queue. Debug data: 0 1 0 3 0 0 1
[...]
> This can be triggered on demand using:
> qpid-send -b ssl:XXXXXXXX.com:5671 --connection-options {protocol:amqp1.0}
> -a testerq --content-string=hello --messages 200

In my testing, qpid-send must also be Windows based.  I do not see the error
if it is sent from a client running on Linux.

This error is caused by the SChannel driver generating (valid but
useless) empty SSL packets when a zero length write is requested from
the codec on the client side.  On the server side, these are
processed and empty read callbacks are generated, even after close.

The WSAENOBUFS happens as a side effect of recursive calls to
sslDataIn while processing adjacent empty packets.

"
Bug,QPID-7145,12950854,auto_ptr is deprecated from C++11 and onwards and its use causes a warning with GCC 6,astitcher,astitcher,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,C++ Client,C++ Clustering,,,,,"As we compile qpid with warnings turned to errors this causes the build to fail by default when compiling with GCC6.

The simplest ""fix"" is just to turn of deprecation warnings.

A better fix would be to stop using auto_ptr. An good alternative in the context of qpid would be boost::scoped_ptr.

If we change the base C++ version for qpid we could use std::unique_ptr instead."
Bug,QPID-7306,12979973,Fix memory bugs and race conditions found in a Qpid HA deployment,aconway,aconway,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"Bugs related to thread safety and lifecycle of Links/Bridges, management objects and Queues. These were discovered in a HA environment but most of the issues could theoretically affect a stand alone broker also. For more information see https://bugzilla.redhat.com/show_bug.cgi?id=1333767"
Bug,QPID-7383,12995978,[linearstore] Overwrite-before-return causes latencies for clients,kpvdr,kpvdr,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"Using the linearstore overwrite-before-return option can cause excessive client latencies owing to the time taken in the store to overwrite the entire journal file with zeros in an inefficient manner.  The store by design does not have its own worker threads, and relies on the thread that is processing a message to perform its work."
Bug,QPID-7326,12984043,Memory bloat on HA primary broker,aconway,aconway,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"Description of problem:
Having a consumer that (in a loop):
- creates an autoDelete queue
- subscribes to it
- unsubscribes
against a HA cluster, primary broker memory consumption grows over the time.


Version-Release number of selected component (if applicable):
0.34-6
0.34-15


How reproducible:
100%


Steps to Reproduce:
1. Start 3 brokers in a HA cluster (mine reproducer uses options:

qpidd --port=5672 --store-dir=_5672 --log-to-file=qpidd.5672.log --data-dir=_5672 --auth=no --log-to-stderr=no --ha-cluster=yes --ha-brokers-url=localhost:5672,localhost:5673,localhost:5674,localhost:5675,localhost:5676 --ha-replicate=all --acl-file=/root/qpidd.acl --link-maintenance-interval=5
)

2. Run simple qpid-receive in a loop:
while true; do
  qpid-receive -a ""autoDelQueue;  {create:always, node:{ x-declare:{auto-delete:True}}}""
  sleep 0.1
done

3. Monitor memory usage of primary broker.


Actual results:
- memory usage grows over the time (just of primary broker, backup ones are OK)


Expected results:
- no memory usage growth


Additional info:
- I *think* HA cluster is necessary condition (i.e. bug does not occur on standalone broker), but I will test it

See also https://bugzilla.redhat.com/show_bug.cgi?id=1350023 ."
Bug,QPID-6714,12859842,Add support for JMSHeaders in selectors,astitcher,gsim,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"The proton based Qpid JMS client does not use the names as described in the apache-filters.xml, but sends the JMSHeader names as is. This works with other brokers so changing the client is less than ideal for interop. By modifyig qpidd to recognise these headers, overall interop over 1.0 will be improved."
Bug,QPID-7302,12979297,race between auto-delete and re-declare/consume ,gsim,gsim,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,C++ Client,,,,,,"In AMQP 0-10, declare and consume are two distinct operations. When creating a receiver through qpid::messaging, we first declare then consume from the queue.

For a timed auto-delete queue, the delayed auto-delete can tae place between the declare and the consume, resulting in a session error. It would be nice to avoid this. The workaround of course is to set the delay for auto-delete to be sufficiently large that the client will either have reconnected or is likely not reconnecting.

However a simple solution would be to reset the timer on the declare, allowing time for the consume.

This does not prevent the race between a non-timed auto-delete triggered by one session and declare/consume from a different client connection."
Bug,QPID-7240,12963841,acquired messages are not evicted from priority-ring queue,gsim,gsim,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"If a priority queue with a ring queue limit policy exceeds the limit, the lowest priority oldest message should be removed. However at present acquired messages are not considered here."
Bug,QPID-6435,12780104,No error info logged for io errors with ssl,astitcher,gsim,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"It seem PR_Read  may retrun -1 without setting errno, so the AsyncIO handling will log the obscure  'Error reading socket: Success(0)' for any ssl related IO error. NSPR has its own routines for retrieving error info.

This is a result of the consolidation from https://issues.apache.org/jira/browse/QPID-4272."
Bug,QPID-6660,12849408,[AMQP 1.0] broker attempts to process incoming messages for closed session,gsim,gsim,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"If using the proton events API (i.e. any recent version of proton), then if the broker closes the session when there are already incoming delivery events on the event queue, those events will still get dispatched and the broker will try to handle them though proton will fail to retrieve any data for the deliveries."
Bug,QPID-6698,12856732,[amqp1.0] connections drop when heartbeat is used and the time of day changes,kgiusti,kgiusti,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"If heartbeats are enabled on a connection using AMQP 1.0, the connection will drop the connection if the system clock is adjusted.  Qpidd thinks the connection's idle timeout expired, when it actually hasn't"
Bug,QPID-7149,12951165,[HA] active HA broker memory leak when ring queue discards overflow messages,aconway,pmoravec,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"There is a memory leak on active HA broker, triggered most probably by purging overflow message from a ring queue. Basic scenario is to setup HA cluster, promote to primary and feed forever a ring queue with messages.

Detailed scenario:

1) Start brokers and promote one to primary:

{noformat}
start_broker() {
	port=$1
	shift
	rm -rf _${port}
	mkdir _${port}
	nohup qpidd --load-module=ha.so --port=$port --log-to-file=qpidd.$port.log --data-dir=_${port} --auth=no --log-to-stderr=no --ha-cluster=yes --ha-brokers-url=""$(hostname):5672,$(hostname):5673,$(hostname):5674"" --ha-replicate=all --acl-file=/root/qpidd.acl ""$@"" > /dev/null 2>&1 &
	sleep 1
}


killall qpidd qpid-receive 2> /dev/null
rm -f qpidd.*.log
start_broker 5672
sleep 1
qpid-ha promote -b $(hostname):5672 --cluster-manager
sleep 1
start_broker 5673
sleep 1
start_broker 5674
{noformat}

2) Create ring queues and send there messages (it is enough to have 1 queue, having more should show the leak faster):

{noformat}
for i in $(seq 0 9); do
	qpid-config add queue FromKeyServer_$i --max-queue-size=10000 --max-queue-count=10 --limit-policy=ring --argument=x-qpid-priorities=10
done

while true; do
	for j in $(seq 1 10); do
		for i in $(seq 1 10); do
			for k in $(seq 0 9); do
				qpid-send -a FromKeyServer_$k -m 100 --send-rate=50 -- priority=$(($((RANDOM))%10)) &
			done
		done
		wait
		while [ $(qpid-stat -q | grep broker-replicator | sed ""s/Y//g"" | awk '{ print $2 }' | sort -n | tail -n1) != ""0"" ]; do
			sleep 1
		done
	done
	date
	ps aux | grep qpidd | grep ""port=5672"" | awk -F ""--store-dir"" '{ print $1 }'
done
{noformat}

(the ""while [ $(qpid-stat -q | .."" cycle is there just to slow down the message enqueues to ensure replication federation queues dont have big backlog - that would interfere with memory consumpiton observation)


3) Run those scripts and monitor memory consumption.

- without using priority queues and sending messages without priorities, leak is evident as well - sometimes smaller, sometimes the same
- valgrind (on some older versions I tested before more thoroughly) detects nothing (neither leaked memory or reachable at shutdown)
- same leak is evident even with --ha-replicate=none
- number of backup brokers does not affect the memory leak
"
Bug,QPID-7010,12933034,assertion failure if disposition sent for previously settled delivery,gsim,gsim,Closed,Fixed,2016-09-06 21:32,C++,C++ Broker,,,,,,,"If you sent multiple disposition frames fro the same delivery-id, each of them with settled=true, then qpidd fails with an assertion error:

src/qpid/broker/amqp/Outgoing.cpp:115: virtual void pid::broker::amqp::OutgoingFromQueue::handle(pn_delivery_t*): Assertion `r.delivery == delivery' failed.

where r.delivery is 0."
Bug,QPID-5398,12682978,qpidd --acl-file does not work with a drive-prefixed path on windows.,aconway,aconway,Closed,Fixed,2016-09-06 16:35,C++,C++ Broker,,,,,,,"The acl-file option does not correctly recognize windows paths of the form x:\... as absolute paths and attempts to append them to the brokers data-dir

To reproduce (on windows): qpidd --acl-file c:\path\to\policy.acl

Result: log contains
error Unable to open ACL file ""<data-dir>/c:\path\to\policy.acl""

Expected result: should load file correctly."
Bug,QPID-5324,12678406,C++ broker ignores unrecognised filter in QMF methods,gsim,scholzj,Closed,Fixed,2016-09-06 16:35,C++,C++ Broker,,,,,,,"Some QMF methods - for example purge or queueMoveMessages - support filers as one their parameters. The filter allows to specify the messages which should be affected by the methods - e.g. which messages should be purged. Unfortunately, if the broker doesn't recognize the filter, it simply ignores it and uses empty filter instead:

2013-11-09 18:15:45 [Broker] error Ignoring unrecognized message filter: '{subject:test}'

Such behaviour doesn't make sense - if the client who called the QMF method specified the filter, it is obvious that he didn't wanted to apply the method to all messages. Especially with methods like purge, this can lead to severe message loss!

Therefore if the broker doesn't recognize the filter, it should throw an error and never execute the method.
"
Bug,QPID-6150,12748018,qpid-qls-analyze tool cannot find Python modules,,mcpierce,Closed,Fixed,2016-09-06 16:35,C++,C++ Broker,,,,,,,"The python modules qlslibs install to /usr/share/qpid-tools/python. The qpid-qls-analyze builds its module search path to include the above. However, the above directory is missing the necessary __init__.py file to make it a module that can be imported."
