Issue Type,Issue key,Issue id,title,Assignee,Reporter,Status,Resolution,Updated,component_1,component_2,component_3,description
Bug,QPID-3338,12513092,qpidxarm CMake target is missing in 0-12,cliffjansen,cliffjansen,Closed,Fixed,2013-07-29 18:54,Broker,Client,NONE,"cpp/src/CMakeLists.txt was altered for mingw builds in QPID-2905 (r1104662).

The qpidxarm target builds the XA distributed transaction resource manager for use with the Microsoft distributed trasanction coordinator.  It was targeted for Windows builds only, using the CMake variable ""WIN32"".

This variable was changed to ""_MSC_VER"" for QPID-2905, presumably to indicate that the build target should only apply to builds using the Microsoft compiler, and not mingw.  Unfortunately ""_MSC_VER"" is not a recognized CMAKE variable and the qpidxarm target is never generated.

The CMake documentation indicates the the variable ""MSVC"" should be used to indicate The Microsoft compiler compared to mingw.
"
Bug,QPID-3586,12530360,Changes for QPID-3464 break cmake build in tar.gz distribution,astitcher,astitcher,Closed,Fixed,2013-07-29 18:54,Broker,Client,NONE,The changes to the cmake build system in QPID-3464 added some new cmake build files however they weren't added to the autotools list of files to distribute. As it's autotools that creates the .tar.gz this means that the distribution doesn't have all teh files for the cmake build.
Bug,QPID-1525,12410405,Missing pure virtual method in Windows AsynchIO.cpp,shuston,shuston,Closed,Fixed,2013-07-29 18:53,Broker,Client,NONE,svn rev 724233 added a pure virtual method to qpid/sys/AsynchIO.h which was not added to qpid/sys/windows/AsynchIO.cpp. This causes the common lib compile to fail. Must be fixed for M4.
Bug,QPID-4345,12609110,Windows memory leak,cliffjansen,kbonin,Closed,Fixed,2013-07-29 18:53,Broker,Client,NONE,In our large system performance test environments we see Broker memory growth until the process crashes.  This appears to be reproducible simply by opening and closing connections as fast as possible.  Marked as 'Blocker' as it was blocking shipment of our Windows based product - the Broker would exhaust memory and crash itself every few days of operation.
Bug,QPID-1546,12411098,M4 RC5 Windows Visual Studio files munged,shuston,shuston,Closed,Fixed,2013-07-29 18:53,Broker,Client,NONE,"The Visual Studio project files for the C++ build had some licensing inserted and the line endings changed to Unix. These made them unusable by Visual Studio, so they won't load. I can change the line endings to DOS easily enough, but does the Apache license have to be included in the project files (*.vcproj)? If so, can it go further down the file (right now it's right at the top and Visual Studio screams about it).

I'll fix these things Monday 22-Dec-08 if I can get clarification about the license placement."
Bug,QPID-6470,12787068,FieldValue::getFloatingPointValue() converts endian each time it is called,aconway,pokutnev,Closed,Fixed,2016-09-08 10:26,Broker,Client,Clustering,"When calling getFloatingPointValue multiple times, the octets are endian-converted each time.
Actually we need to make a copy first and then call convertIfRequired()."
Bug,QPID-986,12395058,Need to link libuuid.a to libqpidbroker.so and libqpidclient.so in Qpid/C++,,danushka,Closed,Fixed,2013-07-29 15:15,Broker,Client,NONE,"When I try to compile a repository working copy of Qpid/C++ I get a build error saying that there are undefined references to ""uuid_generate"" in both libqpidbroker.so and libqpidclient.so. When I was going through the makefile I found that libuuid.a is not linked to these two libs and I could easily get rid of the issue simply by modifying the makefile to link libuuid.a to these two libs."
Bug,QPID-488,12369102,Concurrent access to apr_pools (which are not thread safe),astitcher,gsim,Closed,Fixed,2013-07-29 15:15,Broker,Client,NONE,The c++ codebase is now set to share an apr pool per process which is a problem as apr_pools are not thread safe.
Bug,QPID-7669,13042093,Unintended UI changes from switch to swigged Python client for management tools,aconway,jross,Resolved,Fixed,2017-11-22 9:54,Broker,Client,NONE,http://qpid.2158936.n2.nabble.com/Qpid-tools-with-python-vs-qpid-cpp-messaging-td7659017.html
Bug,QPID-7494,13017863,Invocation of check_dependencies.py fails on CMake 2.8.11,jross,jross,Resolved,Fixed,2016-11-04 0:07,Broker,Client,NONE,"This annoying issue is discussed here: https://public.kitware.com/Bug/view.php?id=13887 .

It's a bug introduced in cmake 2.8.10 and resolved in 2.8.12.  RHEL 7's cmake version is 2.8.11."
Bug,QPID-6966,12924892,C++ broker and client to support TLS1.1 and TLS1.2 by default,pmoravec,pmoravec,Closed,Fixed,2016-09-06 21:32,Broker,Client,NONE,"Description of problem:
Currently, neither C++ client or broker allows TLS1.1 or TLS1.2 protocol versions. Please enable it, esp. since Java client 6.1 will disable TLS1.0 and use 1.1 and 1.2 only.


Version-Release number of selected component (if applicable):
qpid-cpp-server-0.34-5.el6.x86_64
qpid-cpp-client-0.34-5.el6.x86_64


How reproducible:
100%


Steps to Reproduce:
1. Start qpid broker with SSL configured
2. openssl s_client -tls1_1 -connect localhost:5671
3. openssl s_client -tls1_2 -connect localhost:5671


Actual results:
Both 2 and 3 fails with:

{noformat}
139817551390536:error:1408F10B:SSL routines:SSL3_GET_RECORD:wrong version number:s3_pkt.c:337:
{noformat}


Expected results:
Both should return something like:

{noformat}
CONNECTED(00000003)
depth=0 CN = localhost
verify error:num=18:self signed certificate
verify return:1
depth=0 CN = localhost
verify return:1
140319888385864:error:14094412:SSL routines:SSL3_READ_BYTES:sslv3 alert bad certificate:s3_pkt.c:1256:SSL alert number 42
140319888385864:error:1409E0E5:SSL routines:SSL3_WRITE_BYTES:ssl handshake failure:s3_pkt.c:596:
---
Certificate chain
 0 s:/CN=localhost
   i:/CN=localhost
---
Server certificate
-----BEGIN CERTIFICATE-----
MIIBoDCCAQmgAwIBAgIFAKUDcMswDQYJKoZIhvcNAQEFBQAwFDESMBAGA1UEAxMJ
bG9jYWxob3N0MB4XDTE1MTIzMDExMDYwN1oXDTE2MDMzMDExMDYwN1owFDESMBAG
A1UEAxMJbG9jYWxob3N0MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCgCq6w
o6FW7gIpAQu8y74wuREH6aGo6hc6YVfATz503o7dxqmUUKs6+DkqbEiDu43r51QL
Sb7oduLMmrvC5TfhWEZGe3PYPOuCBbpqDxXs5kKlqSCuIbvDv1ua1WXdqb27/jGr
d6Lf+DsnU+GXrGwLY1W1zchagmFU1P2dLh8JhQIDAQABMA0GCSqGSIb3DQEBBQUA
A4GBACUauXrJB/P0za8mPj5As4uQ3kr7CHIAtFBEAd3MvVmf9RHniMU/resXeE1B
CBOZ4kXmTvVQ+/kDxYTXO/pLq0wh4HHuZC4LrmlIHG2WagEskVnYgqJiHUchKi+8
URu/CX4rW6/EdcAHhPsKX6nlHFFKYg5u9b9ZtQHYMrfryStZ
-----END CERTIFICATE-----
subject=/CN=localhost
issuer=/CN=localhost
---
Acceptable client certificate CA names
/CN=dummy
---
SSL handshake has read 565 bytes and written 202 bytes
---
New, TLSv1/SSLv3, Cipher is AES128-GCM-SHA256
Server public key is 1024 bit
Secure Renegotiation IS supported
Compression: NONE
Expansion: NONE
SSL-Session:
    Protocol  : TLSv1.2
    Cipher    : AES128-GCM-SHA256
    Session-ID: 7D6C1CB53B37700F2BF007D0D079AB72F26A9D289BCA8D98B5B3F1E283311991
    Session-ID-ctx: 
    Master-Key: 448215BEAADBFF90B82B421D182F8AD7174426D9292835775C405A7C3AEC2763E5F2A1127E5AE210ADC6B7335EE1F6FA
    Key-Arg   : None
    Krb5 Principal: None
    PSK identity: None
    PSK identity hint: None
    Start Time: 1451483784
    Timeout   : 7200 (sec)
    Verify return code: 18 (self signed certificate)
---
{noformat}

Additional info:"
Bug,QPID-7393,12996942,Unavailable buffers in Windows SSL,cliffjansen,cliffjansen,Closed,Fixed,2016-09-06 21:32,Broker,Client,NONE,"From the user list (acartcat Cartwright_Andrew@cat.com):

> I get the following error in the broker, looks like the same error as
> QPID-5033.
[...]
> 2016-05-26 05:22:23 [System] error No IO buffers available: getQueuedBuffer
> with empty queue. Debug data: 0 1 0 3 0 0 1
[...]
> This can be triggered on demand using:
> qpid-send -b ssl:XXXXXXXX.com:5671 --connection-options {protocol:amqp1.0}
> -a testerq --content-string=hello --messages 200

In my testing, qpid-send must also be Windows based.  I do not see the error
if it is sent from a client running on Linux.

This error is caused by the SChannel driver generating (valid but
useless) empty SSL packets when a zero length write is requested from
the codec on the client side.  On the server side, these are
processed and empty read callbacks are generated, even after close.

The WSAENOBUFS happens as a side effect of recursive calls to
sslDataIn while processing adjacent empty packets.

"
Bug,QPID-7145,12950854,auto_ptr is deprecated from C++11 and onwards and its use causes a warning with GCC 6,astitcher,astitcher,Closed,Fixed,2016-09-06 21:32,Broker,Client,Clustering,"As we compile qpid with warnings turned to errors this causes the build to fail by default when compiling with GCC6.

The simplest ""fix"" is just to turn of deprecation warnings.

A better fix would be to stop using auto_ptr. An good alternative in the context of qpid would be boost::scoped_ptr.

If we change the base C++ version for qpid we could use std::unique_ptr instead."
Bug,QPID-7302,12979297,race between auto-delete and re-declare/consume ,gsim,gsim,Closed,Fixed,2016-09-06 21:32,Broker,Client,NONE,"In AMQP 0-10, declare and consume are two distinct operations. When creating a receiver through qpid::messaging, we first declare then consume from the queue.

For a timed auto-delete queue, the delayed auto-delete can tae place between the declare and the consume, resulting in a session error. It would be nice to avoid this. The workaround of course is to set the delay for auto-delete to be sufficiently large that the client will either have reconnected or is likely not reconnecting.

However a simple solution would be to reset the timer on the declare, allowing time for the consume.

This does not prevent the race between a non-timed auto-delete triggered by one session and declare/consume from a different client connection."
Bug,QPID-6409,12776994,Taking address of a 0-length vector throws exception,shuston,shuston,Closed,Fixed,2016-09-06 16:31,Broker,Client,NONE,"In Debug-mode builds, std::vector in VS2013 will throw an exception if trying to do:  &argv[0]  if argv has 0 length. This construct happens in cpp/src/tests/BrokerFixture.h, so happens in many of the unit tests."
Bug,QPID-6511,12823911,"[C++ Broker, clients] AMQP 0-10 windows clients can not connect to --no-auth broker",chug,chug,Closed,Fixed,2016-09-06 16:31,Broker,Client,NONE,"Broker
{noformat}
./qpidd --auth no
{noformat}
Windows client
{noformat}
spout -b my-broker:5672 amq.topic
{noformat}
Fails with ""Not authenticated!""

The behavior change was in the broker as part of QPID-6325. Arguably the change is a good thing as it prevents clients connecting to the broker with no name. However, it makes for a poor out-of-the-box experience with a no-auth broker rejecting connections with an auth error. 

Clients can make a connection by adding:
{noformat}
--connection-options ""{username:dummy}""
or
--connection-options ""{sasl-mechanisms:ANONYMOUS}""
{noformat}
But the change breaks years of accumulated self tests that work just fine against older versions of qpidd.

The proposal to fix this is to make the Windows client provide the same connection defaults as linux cyrus sasl. "
Bug,QPID-6529,12827038,[C++ Client] Fails to compile with Proton 0.10,chug,chug,Closed,Fixed,2016-09-06 16:31,Broker,Client,NONE,"Proton version detection logic
{noformat}
if (Proton_VERSION GREATER 0.8)
{noformat}
gets it wrong when Proton is 0.10.
"
Bug,QPID-6399,12776036,Windows run_test.ps1 script needs revamp to match run_test,shuston,shuston,Closed,Fixed,2016-09-06 16:31,Broker,Client,NONE,"Some time back the run_test script was expanded to offer new capabilities and the cmake testing invocation changed to match. The run_test.ps1 script is still expecting ""old"" invocation and needs a makeover."
Bug,QPID-3540,12526463,"Typecasting and alignment requirements for various platforms - ""increases required alignment of target type""",,chug,Closed,Fixed,2015-06-16 8:35,Broker,Client,NONE,"On sparc/solaris (and others) the following code generates an error:

  qpid/cpp/src/qpid/RefCountedBuffer.cpp line 37
    boost::intrusive_ptr<RefCounted>(reinterpret_cast<RefCountedBuffer*>(store)),

A workaround is the '(void *)' hack that quiets the compiler but leaves the
code exposed to a run time fault if the store object is not properly aligned:

    boost::intrusive_ptr<RefCounted>(reinterpret_cast<RefCountedBuffer*>((void*)store)),

Another error shows up in
  
  qpid/cpp/src/tests/qpid-perftest.cpp line 647
    size_t n = *reinterpret_cast<const size_t*>(msg.getData().data() + offset);

The (void *) hack silences the error here, too, but the run time code is exposed to
a data alignment fault.

I propose that these two pieces of code need work to guarantee the alignment
or to work around any memory reference fault.

1. In the store case, new() probably returns an address that meets the alignment
requirement. An assert would help diagnose when this assumption fails.

2. In the qpid-perftest case the size_t could be extracted from the raw buffer
with a memcpy and that would be safe to do in all architectures.

2A. A separate issue is the fact that size_t changes between 32-bit and 64-bit
platforms, and that the size_t does not appear to be byte swapped for interop
between big and little endian systems. If these messages are consumed only
by the sender then no problem.


"
Bug,QPID-6021,12735090,[AMQP 1.0] Improve performance,gsim,gsim,Closed,Fixed,2015-03-19 12:23,Broker,Client,NONE,Performance is poorer when using AMQP 1.0  (as compared to using AMQP 0-10). This is a JIRA to highlight a few changes to improve things in the next release cycle.
