issuekey,title,description,component_1,component_2,component_3,f4-audit,f4-auth,f4-camel,f4-core,f4-import-export,f4-java-client,f4-jmeter,f4-ldp,f4-message-consumer,f4-oaiprovider,f4-ontology,f4-transform,f4-vagrant,f4-webapp-plus,legacy - FeSL,legacy - Fedora,legacy - GSearch,legacy - OAIProvider,legacy - OSGi,legacy - Trippi,legacy - community extensions,legacy - java-client,Sum
FCREPO-1568,Audit identifiers should be configurable,"FedoraEvent currently uses the default constructor of UUIDPathMinter to create a PidMinter.  Users should be able to configure a different minter and set the parameters to customize the desired event ID minting behavior.    One possibility:  Add a PidMinter parameter to the FedoraEvent constructor and inject the pidMinter instance into the AllNodeEventsOneEvent, spring-managed bean.  https://github.com/fcrepo4/fcrepo4/blob/master/fcrepo-kernel-impl/src/main/java/org/fcrepo/kernel/impl/observer/eventmappings/AllNodeEventsOneEvent.java#L50    We should verify that the only place that FedoraEvents will be produced will be implementations of InternalExternalEventMapper (including, but not limited to, AllNodeEventsOneEvent).",audit,core,NONE,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1297,change the copyright date to 2015,The copyright date in the license headers is listed as 2014. This should be changed to 2015 for the 4.0.1 release.,auth,camel,core,0,1,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,6
FCREPO-1306,incorrect links in documentation,"Many of the README files contain incorrect, outdated or version-specific links to the fcrepo wiki.",auth,camel,message-consumer,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3
FCREPO-1709,Kill dependency on org.modeshape.jcr.security.AuthenticationProvider,"Currently the Fedora auth SPI depends directly on org.modeshape.jcr.security.AuthenticationProvider. This is a Modeshape type dependency which should be confined to the Modeshape kernel implementation. Instead, an appropriate Fedora-specific type should be substituted for org.modeshape.jcr.security.AuthenticationProvider.",auth,core,NONE,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1432,Evaluate and integrate the bnd-maven-plugin,See http://blogs.paremus.com/2015/03/announcing-the-bnd-maven-plugin/    It appears that this will significantly improve the build configuration for OSGi bundles.,camel,core,NONE,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1346,Update Repository and Indexing URIs in codebases,This task is to ensure that references to the repository# and indexing# namespaces point to the following URLs:  http://fedora.info/definitions/repository/v4.1.0  http://fedora.info/definitions/indexing/v4.1.0,camel,core,message-consumer,0,0,1,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,4
FCREPO-1815,Extract fedora 4 client code from fcrepo-camel project.,"We need a shared java client library for Fedora 4.  It will be a good start even if it just includes:    1.  Best practices for HttpClient creation  2.  The basic semantics of typical Fedora 4 requests    For a first pass, just extract the FcrepoClient (and dependencies) from fcrepo-camel and rig up an integration test framework.  ",camel,java-client,NONE,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1887,"Fedora4 Rest API GET Method ""Accept-Post"" header does not list all allowed supported RDF formats ","Response headers for a direct GET rest end point call (root resource) list the following RDF formats in the Accept-Post header  ..  Accept-Post: text/turtle,text/rdf+n3,text/n3,application/rdf+xml,application/n-triples,multipart/form-data,application/sparql-update  ..    But POST method allows also application/ld+json (not listed in the previous header) as valid rdf format source for new Resources:    example (tested on 4.4.x and 4.5.0) to reproduce:   $ curl -XGET http://localhost:8080/rest -v    outputs (trimmed, only headers)    * Connected to localhost (::1) port 8080 (#0)  > GET /rest HTTP/1.1  > User-Agent: curl/7.38.0  > Host: localhost:8080  > Accept: */*  >   < HTTP/1.1 200 OK  < Date: Thu, 04 Feb 2016 17:54:57 GMT  < Link: <http://www.w3.org/ns/ldp#Resource>;rel=""type""  < Link: <http://www.w3.org/ns/ldp#Container>;rel=""type""  < Link: <http://www.w3.org/ns/ldp#BasicContainer>;rel=""type""  < Accept-Patch: application/sparql-update  < Accept-Post: text/turtle,text/rdf+n3,text/n3,application/rdf+xml,application/n-triples,multipart/form-data,application/sparql-update  < Allow: MOVE,COPY,DELETE,POST,HEAD,GET,PUT,PATCH,OPTIONS  < Preference-Applied: return=representation  < Vary: Prefer  < Vary: Accept, Range, Accept-Encoding, Accept-Language  < Content-Type: text/turtle  < Content-Length: 2327  * Server Jetty(9.2.3.v20140905) is not blacklisted  < Server: Jetty(9.2.3.v20140905)    Now create a new resources using POST using application/ld+json which is not listed.    $ curl -XPOST  -H ""Content-Type: application/ld+json"" -H ""Slug:testjsonld"" --data-binary ""@jsonld.txt"" -v http://localhost:8080/rest/    jsonld.txt file content (body)  [    {      ""@id"": ""http://localhost:8080/rest/testjsonld"",      ""@type"": [        ""http://www.w3.org/ns/ldp#RDFSource"",        ""http://www.w3.org/ns/ldp#Container""      ],      ""http://purl.org/dc/elements/1.1/title"": [        {          ""@value"": ""json ld test""        }      ]    }  ]    Response (resource created):    * Connected to localhost (::1) port 8080 (#0)  > POST /rest/ HTTP/1.1  > User-Agent: curl/7.38.0  > Host: localhost:8080  > Accept: */*  > Content-Type: application/ld+json  > Slug:testjsonld2  > Content-Length: 276  >   * upload completely sent off: 276 out of 276 bytes  < HTTP/1.1 201 Created  < Date: Thu, 04 Feb 2016 17:26:24 GMT  < ETag: ""6654d7f2f741be93df0f265571ab9e1bcadbd21c""  < Last-Modified: Thu, 04 Feb 2016 17:26:24 GMT  < Location: http://localhost:8080/rest/testjsonld  < Content-Type: text/plain  < Content-Length: 38  * Server Jetty(9.2.3.v20140905) is not blacklisted  < Server: Jetty(9.2.3.v20140905)  <   * Connection #0 to host localhost left intact  http://localhost:8080/rest/testjsonld    Are there other rdf formats also available that can be used and are not listed? I guess json-ld is the only one.  ",core,"core,f4-ldp",NONE,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1308,Update wiki documentation for configuration changes,This task is to update the wiki documentation in response to codebase updates from:  https://jira.duraspace.org/browse/FCREPO-1288,core,message-consumer,NONE,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1377,Vagrant F4 for Training,"This task is to create a Vagrant setup that can be used in F4 one-day trainings, like the upcoming training in D.C.  https://wiki.duraspace.org/display/FF/Training+-+DC+Area+Fedora+User+Group+Meeting%3A+31+March+-+1+April+2015    Ideally, this Vagrant setup would include:  - Tomcat7  - Fedora4  - Solr  - Fuseki    Here is a good starting point:  https://github.com/Islandora-Labs/islandora/blob/7.x-2.x/install/Vagrantfile",core,message-consumer,NONE,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1539,Stop spewing UUIDs,"Fedora is currently publishing JCR-assigned internal UUIDs as properties of resources. It should stop doing this. The property that is used to publish this internal-only information (""fedora:uuid"") should be removed from the public ontologies.",core,ontology,NONE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1746,unknown predicate used in Fixity docs,"On this page: https://wiki.duraspace.org/display/FEDORA43/RESTful+HTTP+API    It has a sample response that shows:    <http://localhost:8080/rest/path/to/some/resource#fixity/1400589459772> <http://fedora.info/definitions/v4/repository#status> ""BAD_CHECKSUM""^^<http://www.w3.org/2001/XMLSchema#string> , ""BAD_SIZE""^^<http://www.w3.org/2001/XMLSchema#string> ;      But this status predicate doesn't exist in http://fedora.info/definitions/v4/repository",core,ontology,NONE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1805,Review triples in HTTP representations for legitimacy,Review all RDF representations available from Fedora's HTTP API to separate them into two categories:    - Those that are documented in a Fedora API module ontology and to which the Fedora architecture is committed.  - Those to be added to a kill-list for removal.    All JCR-exposing triples should certainly be removed.,core,ontology,NONE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
FCREPO-1960,RDF expression for events,"Fedora should publish as part of the ontologies a system of classes and predicates (mostly reusing extant work) for the encoding of published events, such as appear on the Java API's event bus and are currently translated into JMS. Of course, the JMS event tap should also _use_ this encoding.",core,ontology,NONE,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2
